name,screen_name,followers_count,friends_count,lang,location,occupation,profile_image_url,url,updated_at
Hugh Jackman,RealHughJackman,14795345,25,en,Sydney ,Actor,http://pbs.twimg.com/profile_images/1302962150302982146/NTb6iGpC_normal.jpg,,2022-05-12 04:50:36
Parineeti Chopra,ParineetiChopra,14548723,238,,,Actor,http://pbs.twimg.com/profile_images/1503751866571804673/n-xZO7l6_normal.jpg,,2022-05-12 04:50:40
Ranveer Singh,RanveerOfficial,14155409,762,en,Mumbai,Actor,http://pbs.twimg.com/profile_images/1515564140269809671/h-1bxbD__normal.jpg,,2022-05-12 08:50:59
Angel Locsin,143redangel,12756085,517,tl,Republic of the Philippines :),Actor,http://pbs.twimg.com/profile_images/1123859468045963264/G6JH22kC_normal.jpg,"http://youtube.com/TheAngelandNeilChannel,https://www.facebook.com/TheAngelAndNeilChannel",2022-05-11 13:50:50
Farhan Akhtar,FarOutAkhtar,12675702,401,hi,"Mumbai, India",Actor,http://pbs.twimg.com/profile_images/1370401052130906112/5cemwn4h_normal.jpg,http://www.excelmovies.com,2022-05-12 09:50:52
Mahesh Babu,urstrulyMahesh,12539792,29,en,"Hyderabad, India",Actor,http://pbs.twimg.com/profile_images/1424343459150790660/MAGT20PI_normal.jpg,http://instagram.com/urstrulymahesh,2022-05-12 12:50:48
Ashley Tisdale,ashleytisdale,12364603,216,en,,Actor,http://pbs.twimg.com/profile_images/1161701913131225088/x0lvDL2k_normal.jpg,https://frenshe.com,2022-05-12 13:50:42
sonu sood,SonuSood,12077901,166,en,"Mumbai, India",Actor,http://pbs.twimg.com/profile_images/1282230048716492803/fduUXbCR_normal.jpg,"http://facebook.com/ActorSonuSood,http://www.soodcharityfoundation.org",2022-05-12 09:50:32
Dhanush,dhanushkraja,10700614,160,en,chennai,Actor,http://pbs.twimg.com/profile_images/1338406029856423943/V0i3Jd4s_normal.jpg,http://Facebook.com/dhanushkraja,2022-05-12 12:51:15
Madhuri Dixit Nene,MadhuriDixit,10450152,38,en,Mumbai,Actor,http://pbs.twimg.com/profile_images/1477984690661314561/cKwqyIuN_normal.jpg,https://streamlink.to/candle,2022-05-12 04:51:19
Sidharth Malhotra,SidMalhotra,10177515,182,en,,Actor,http://pbs.twimg.com/profile_images/1519627930892005376/xAjAm7HL_normal.jpg,,2022-05-12 08:50:20
Victoria Justice,VictoriaJustice,9932321,1687,en,,Actor,http://pbs.twimg.com/profile_images/1448487412229763073/DdivBkF5_normal.jpg,"http://instagram.com/victoriajustice,http://smarturl.it/AfterlifeOfTheParty",2022-05-10 03:51:00
Seth Rogen,Sethrogen,9309996,1834,en,,Actor,http://pbs.twimg.com/profile_images/500459292781449216/yhdYeWHt_normal.jpeg,https://bit.ly/2Jw8QpP,2022-05-12 13:50:47
Lindsay Lohan,lindsaylohan,8266251,651,,,Actor,http://pbs.twimg.com/profile_images/1246102549184339971/kl7zrsqF_normal.jpg,https://linktr.ee/lindsaylohan,2022-05-12 07:51:10
Chris Pratt,prattprattpratt,8120934,478,en,,Actor,http://pbs.twimg.com/profile_images/1501396349794721792/-_7KMnmX_normal.jpg,https://www.youtube.com/watch?v=DtQycgMD4HQ,2022-05-12 13:50:26
Mark Ruffalo,MarkRuffalo,8038798,2288,en,NYS,Actor,http://pbs.twimg.com/profile_images/672121350689959936/6FZ2iZvr_normal.png,http://instagram.com/MarkRuffalo,2022-05-12 13:50:58
